Cusip,date,ESGScore,EnvironmentPillarScore,GovernancePillarScore,SocialPillarScore
00025510,2020-12-31,0.0769063788,0.0648148148,0.0509027778,0.1014970513
00025510,2021-12-31,0.07251158,0.0476190476,0.0512145749,0.1016451029
00025510,2022-12-31,0.0614487671,0.0263942103,0.045194274,0.09331783
00025510,2023-12-31,0.0615963303,0.042042042,0.0343881857,0.0914676664
00032Q10,2022-12-31,0.2509919698,0,0.6849121824,0.0837997831
00032Q10,2023-12-31,0.274281346,0,0.697194001,0.1258830553
00036020,2015-12-31,0.1699799962,0,0.2392769608,0.272701291
00036020,2016-12-31,0.1848968506,0,0.2690841866,0.2899137966
00036020,2017-12-31,0.1886487302,0,0.2734799038,0.2966085373
00036020,2018-12-31,0.2361536876,0.0527260019,0.3762997404,0.2971455968
00036020,2019-12-31,0.4020307587,0.4421976717,0.4014126962,0.365739225
00036020,2020-12-31,0.4478907086,0.6668526761,0.2391108254,0.4067237341
00036020,2021-12-31,0.4598693902,0.6854221112,0.2485451979,0.4146107752
00036020,2022-12-31,0.5075177685,0.7789397953,0.2376346191,0.4649406886
00036020,2023-12-31,0.4463173623,0.6602594777,0.2541971987,0.3970382628
00036110,2016-12-31,0.2465314006,0.0476190476,0.1740187713,0.4076326459
00036110,2017-12-31,0.2407660876,0.0356506239,0.2593037902,0.3380548365
00036110,2018-12-31,0.2331023838,0.0255183413,0.2452039569,0.3364745578
00036110,2019-12-31,0.262274928,0.0240641711,0.3015615041,0.3621611419
00036110,2020-12-31,0.2631879056,0.0607499517,0.2621308336,0.3734833272
00036110,2021-12-31,0.4204545477,0.2468149828,0.4117821921,0.5207883451
00036110,2022-12-31,0.3968297256,0.2608332262,0.2875131692,0.5510449637
00036110,2023-12-31,0.4208226923,0.2283729822,0.387878863,0.5492376554
00076T10,2021-12-31,0.2876373734,0.170839082,0.1578998157,0.4595785128
00076T10,2022-12-31,0.306547999,0.1926851751,0.2157417938,0.453253369
00076T10,2023-12-31,0.2662063051,0.1644475808,0.1412161627,0.4230187617
00081T10,2015-12-31,0.5336724335,0.3362318841,0.5251021242,0.6485427157
00081T10,2016-12-31,0.5757232325,0.328358209,0.662016496,0.643702387
00081T10,2017-12-31,0.6030636368,0.34380431,0.7274590633,0.6489363661
00081T10,2018-12-31,0.720446608,0.5631036752,0.715926521,0.8101806307
00081T10,2019-12-31,0.7650544372,0.6238629098,0.7946223126,0.8192627627
00081T10,2020-12-31,0.7530031809,0.6186798389,0.801040161,0.7889948535
00081T10,2021-12-31,0.7422556619,0.6255744149,0.7371802377,0.8101487641
00081T10,2022-12-31,0.7674664575,0.6375956391,0.8311988753,0.7887355354
00081T10,2023-12-31,0.7655306347,0.6283847425,0.8417228928,0.7810340084
00086810,2017-12-31,0.2237404567,0.2209302326,0.4284094813,0.1401472651
00086810,2018-12-31,0.2250419391,0,0.5168722908,0.0785643436
00086810,2019-12-31,0.321278612,0,0.4889420013,0.292861878
00086810,2020-12-31,0.3534797656,0,0.6047878238,0.2737019135
00086810,2021-12-31,0.2818165289,0,0.451628131,0.2403838744
00086810,2022-12-31,0.2594844518,0.0140916464,0.4197963378,0.2143721231
00086810,2023-12-31,0.2592696221,0.0124393204,0.435616836,0.2029360867
00088610,2002-12-31,0.0846644319,0,0.1073903002,0.11019879
00088610,2003-12-31,0.2466192994,0,0.5212749616,0.11019879
00088610,2004-12-31,0.2439004596,0,0.5139261745,0.1106039326
00088630,2005-12-31,0.2325491786,0,0.5197309417,0.0753991721
